UserName,Handle,Timestamp,Comments,Likes,Retweets,Text
Bloomberg,@business,2021-12-27T17:08:04.000Z,"New research shows insider trading is everywhere. So far, no one seems to care
bloomberg.com
‘Most Americans Today Believe the Stock Market Is Rigged, and They’re Right’
New research shows insider trading is everywhere. So far, no one seems to care.
59
185
420Bloomberg
@business
·
1h
New research shows insider trading is everywhere. So far, no one seems to care
bloomberg.com
‘Most Americans Today Believe the Stock Market Is Rigged, and They’re Right’
New research shows insider trading is everywhere. So far, no one seems to care.
59
185
420",59,185,420
Bloomberg,@business,2021-12-27T17:05:09.000Z,"Fauci says a domestic travel vaccination rule should be considered as the omicron variant spreads around the U.S.
bloomberg.com
Fauci Says Domestic Travel Vaccination Rule Should Be Considered
President Joe Biden’s medical adviser said a domestic travel vaccination rule should be considered as the omicron variant fuels record Covid-19 case loads in some states and holiday travel continues...
27
26
51Bloomberg
@business
·
1h
Fauci says a domestic travel vaccination rule should be considered as the omicron variant spreads around the U.S.
bloomberg.com
Fauci Says Domestic Travel Vaccination Rule Should Be Considered
President Joe Biden’s medical adviser said a domestic travel vaccination rule should be considered as the omicron variant fuels record Covid-19 case loads in some states and holiday travel continues...
27
26
51",27,26,51
Bloomberg,@business,2021-12-27T17:03:05.000Z,"“It used to be an on-site day care center was about recruiting and retention,” says Stephen Kramer, Bright Horizon’s CEO. “Now it’s also being seen as a reason employees are coming back to the office.” https://trib.al/FDRtWcu via 
@BW
bloomberg.com
Bright Horizons Is Betting Kids Will Return to the Office, Even If Parents Stay Home
As the child-care industry crumbles, the largest provider of on-site daycare makes its move on corporate America.
1
4
16Bloomberg
@business
·
1h
“It used to be an on-site day care center was about recruiting and retention,” says Stephen Kramer, Bright Horizon’s CEO. “Now it’s also being seen as a reason employees are coming back to the office.” https://trib.al/FDRtWcu via 
@BW
bloomberg.com
Bright Horizons Is Betting Kids Will Return to the Office, Even If Parents Stay Home
As the child-care industry crumbles, the largest provider of on-site daycare makes its move on corporate America.
1
4
16",1,4,16
Bloomberg,@business,2021-12-27T17:03:05.000Z,"As a blockbuster year for cryptocurrencies ticks to a close, some of the smallest coins are having a moment
bloomberg.com
Bitcoin Loses Luster to Alternative Coins in Up Day for Crypto
As a blockbuster year for cryptocurrencies ticks to a close, some of the smallest coins are having a moment.
2
8
11Bloomberg
@business
·
1h
As a blockbuster year for cryptocurrencies ticks to a close, some of the smallest coins are having a moment
bloomberg.com
Bitcoin Loses Luster to Alternative Coins in Up Day for Crypto
As a blockbuster year for cryptocurrencies ticks to a close, some of the smallest coins are having a moment.
2
8
11",2,8,11
Bloomberg Retweeted,@Quicktake,2021-12-27T16:41:13.000Z,"2 dams broke Sunday in northeastern Brazil, causing a strong flash flood that forced thousands to flee their homes. Officials are trying to distribute food, mattresses and warm clothing to flood victims
0:45
12.4K views
1
31
34Bloomberg Retweeted",1,31,34
Bloomberg,@business,2021-12-27T17:02:03.000Z,"A firm founded by Warren Buffett’s grandson is selling rich Asians on the idea of doing well by doing good https://trib.al/B0ULJPK via 
@BW
bloomberg.com
Rich Asian Families Are Pouring Millions Into Impact Investing
I(x) Investments, a firm co-founded by Warren Buffett’s grandson, is among those turning East to put private capital to work addressing issues such as climate change.
2
15
26Bloomberg
@business
·
1h
A firm founded by Warren Buffett’s grandson is selling rich Asians on the idea of doing well by doing good https://trib.al/B0ULJPK via 
@BW
bloomberg.com
Rich Asian Families Are Pouring Millions Into Impact Investing
I(x) Investments, a firm co-founded by Warren Buffett’s grandson, is among those turning East to put private capital to work addressing issues such as climate change.
2
15
26",2,15,26
Bloomberg,@business,2021-12-27T17:00:27.000Z,"Don't look now, but french fries are at risk of becoming the latest victim of a strained food supply chain
bloomberg.com
French Fry Shortage Hits Some Restaurants in Latest Supply Snag
The message posted to Instagram late Tuesday by J.G. Melon, a revered New York City burger joint, surely came as a shock to its many fans.
9
25
45Bloomberg
@business
·
1h
Don't look now, but french fries are at risk of becoming the latest victim of a strained food supply chain
bloomberg.com
French Fry Shortage Hits Some Restaurants in Latest Supply Snag
The message posted to Instagram late Tuesday by J.G. Melon, a revered New York City burger joint, surely came as a shock to its many fans.
9
25
45",9,25,45
Bloomberg,@business,2021-12-27T16:59:04.000Z,"Activist investor Starboard disclosed a stake in website services company GoDaddy Inc. and said it may push for changes to improve the stock’s performance.
bloomberg.com
Activist Investor Starboard Is Pushing for Changes at GoDaddy
Activist investor Starboard Value disclosed a stake in website services company GoDaddy Inc. and said it may push for changes to improve the stock’s performance.
1
5
9Bloomberg
@business
·
1h
Activist investor Starboard disclosed a stake in website services company GoDaddy Inc. and said it may push for changes to improve the stock’s performance.
bloomberg.com
Activist Investor Starboard Is Pushing for Changes at GoDaddy
Activist investor Starboard Value disclosed a stake in website services company GoDaddy Inc. and said it may push for changes to improve the stock’s performance.
1
5
9",1,5,9
Bloomberg Retweeted,@luxury,2021-12-27T16:25:25.000Z,"A clubby Korean steakhouse, Spanish fare in an elevated garden, and superior sushi are all included in our list of the 13 best new restaurants in Miami, as chosen by top chefs
bloomberg.com
The Best New Restaurants in Miami, as Chosen by Top Chefs
The 13 spots include a clubby Korean steakhouse, Spanish fare in an elevated garden, and superior sushi.
9
15Bloomberg Retweeted",,9,15
Bloomberg,@business,2021-12-27T16:22:03.000Z,"Municipal-bond investors seeking shelter from rising rates in 2022 should look to housing bonds, JPMorgan says
bloomberg.com
JPMorgan Sees Muni Housing Bonds Besting Other Sectors Next Year
Municipal-bond investors seeking shelter from rising rates in 2022 should look to housing bonds, according to JPMorgan Chase & Co.’s lead muni strategist.
3
10
15Bloomberg
@business
·
2h
Municipal-bond investors seeking shelter from rising rates in 2022 should look to housing bonds, JPMorgan says
bloomberg.com
JPMorgan Sees Muni Housing Bonds Besting Other Sectors Next Year
Municipal-bond investors seeking shelter from rising rates in 2022 should look to housing bonds, according to JPMorgan Chase & Co.’s lead muni strategist.
3
10
15",3,10,15
