UserName,Handle,Timestamp,Comments,Likes,Retweets,Text,KeyWord,Sentiment
The New York Times,@nytimes,2021-12-07T12:00:14.000Z,"A 73-year-old volunteer died on Saturday after she was repeatedly rammed by a sheep while working at a Massachusetts farm that uses animals in mental health therapy, the authorities said.
nytimes.com
Volunteer Dies After a Sheep Charges at Her on a Therapy Farm
Kim Taylor, 73, went into cardiac arrest after being attacked while caring for livestock at a Massachusetts farm, the police said.
41
71
224The New York Times
@nytimes
·
3h
A 73-year-old volunteer died on Saturday after she was repeatedly rammed by a sheep while working at a Massachusetts farm that uses animals in mental health therapy, the authorities said.
nytimes.com
Volunteer Dies After a Sheep Charges at Her on a Therapy Farm
Kim Taylor, 73, went into cardiac arrest after being attacked while caring for livestock at a Massachusetts farm, the police said.
41
71
224",41,71,224, year Saturday Massachusetts ,-0.03766233766233767
The New York Times,@nytimes,2021-12-07T11:45:03.000Z,"The assault of a French soccer player made headlines, with masked men, a metal bar and a teammate arrested.

But as details emerge about infidelity, accusations against other players and reports of menacing phone calls, no one is sure what to believe.
nytimes.com
The Elusive Truth Behind the Attack on a French Soccer Star
The assault of a top women’s player made headlines, with masked men, a metal bar and a teammate arrested. But weeks later, new details suggest the original story might have been wrong.
12
40
102The New York Times
@nytimes
·
3h
The assault of a French soccer player made headlines, with masked men, a metal bar and a teammate arrested.

But as details emerge about infidelity, accusations against other players and reports of menacing phone calls, no one is sure what to believe.
nytimes.com
The Elusive Truth Behind the Attack on a French Soccer Star
The assault of a top women’s player made headlines, with masked men, a metal bar and a teammate arrested. But weeks later, new details suggest the original story might have been wrong.
12
40
102",12,40,102, French one weeks ,-0.038735177865612654
The New York Times,@nytimes,2021-12-07T11:30:02.000Z,"Michael Steinhardt, the billionaire hedge fund pioneer and one of New York's most prolific antiquities collectors, has surrendered 180 stolen objects valued at $70 million and been barred for life from acquiring any other relics, officials said Monday.
nytimes.com
Michael Steinhardt, Billionaire, Surrenders $70 Million in Stolen Relics
The hedge fund pioneer is barred for life from buying more antiquities. He turned over 180 stolen objects that had decorated his homes and office.
46
163
477The New York Times
@nytimes
·
3h
Michael Steinhardt, the billionaire hedge fund pioneer and one of New York's most prolific antiquities collectors, has surrendered 180 stolen objects valued at $70 million and been barred for life from acquiring any other relics, officials said Monday.
nytimes.com
Michael Steinhardt, Billionaire, Surrenders $70 Million in Stolen Relics
The hedge fund pioneer is barred for life from buying more antiquities. He turned over 180 stolen objects that had decorated his homes and office.
46
163
477",46,163,477, one Monday Billionaire ,0.23989898989898986
The New York Times,@nytimes,2021-12-07T11:15:04.000Z,"Instagram will introduce its first parental controls in March as it faces pressure to do more to protect its young users. Adam Mosseri, the head of the app, is set to face questions from lawmakers this week about whether social media harms children.
nytimes.com
Instagram Says Parental Controls Will Arrive in March
Adam Mosseri, the head of the company, is expected to face questions from lawmakers this week about whether social media harms children.
16
60
171The New York Times
@nytimes
·
3h
Instagram will introduce its first parental controls in March as it faces pressure to do more to protect its young users. Adam Mosseri, the head of the app, is set to face questions from lawmakers this week about whether social media harms children.
nytimes.com
Instagram Says Parental Controls Will Arrive in March
Adam Mosseri, the head of the company, is expected to face questions from lawmakers this week about whether social media harms children.
16
60
171",16,60,171, Instagram first March ,0.13613053613053616
The New York Times Retweeted,@tariqpanja,2021-12-07T09:52:41.000Z,"A star midfielder for PSG Féminine was beaten by an iron bar, a teammate’s reputation has been trashed, the dressing room is shattered and Eric Abidal’s marriage has collapsed in the fallout. I went to Paris to try and make sense of it all. 

via 
@NYTimes
nytimes.com
The Elusive Truth Behind the Attack on a French Soccer Star
The assault of a top women’s player made headlines, with masked men, a metal bar and a teammate arrested. But weeks later, new details suggest the original story might have been wrong.
14
208
680The New York Times Retweeted",14,208,680, Paris French weeks ,0.030965909090909086
The New York Times,@nytimes,2021-12-07T11:00:18.000Z,"A bipartisan commission of experts appointed by President Biden to study potential changes to the Supreme Court will meet on Tuesday to vote on a final report that flags deep disputes over court expansion.
nytimes.com
Biden’s Supreme Court Commission Prepares to Vote on Final Report
A draft version of the document flagged deep disputes over court expansion while exploring how phasing in term limits might work.
24
40
158The New York Times
@nytimes
·
4h
A bipartisan commission of experts appointed by President Biden to study potential changes to the Supreme Court will meet on Tuesday to vote on a final report that flags deep disputes over court expansion.
nytimes.com
Biden’s Supreme Court Commission Prepares to Vote on Final Report
A draft version of the document flagged deep disputes over court expansion while exploring how phasing in term limits might work.
24
40
158",24,40,158, Biden Tuesday ,0.012396694214876032
The New York Times,@nytimes,2021-12-07T10:45:08.000Z,"As President Biden prepares to host a democracy summit, China has countered with an improbable claim: It’s a democracy, too.

It’s the latest salvo in a weekslong campaign to undercut the virtual gathering and extol so-called Chinese-style democracy.
nytimes.com
Ahead of Biden’s Democracy Summit, China Says: We’re Also a Democracy
Beijing argues that its system represents a distinctive form of democracy, one that has dealt better than the West with challenges like the pandemic.
53
42
101The New York Times
@nytimes
·
4h
As President Biden prepares to host a democracy summit, China has countered with an improbable claim: It’s a democracy, too.

It’s the latest salvo in a weekslong campaign to undercut the virtual gathering and extol so-called Chinese-style democracy.
nytimes.com
Ahead of Biden’s Democracy Summit, China Says: We’re Also a Democracy
Beijing argues that its system represents a distinctive form of democracy, one that has dealt better than the West with challenges like the pandemic.
53
42
101",53,42,101, Biden China Chinese Beijing one West ,0.42727272727272725
The New York Times,@nytimes,2021-12-07T10:30:05.000Z,"These are the best movies of 2021, according to our critics.
nytimes.com
Best Movies of 2021
Even when a film wasn’t great, filmgoing was. But there were some truly wonderful releases, ranging from music docs and musicals to westerns and the just plain weird.
10
31
105The New York Times
@nytimes
·
4h
These are the best movies of 2021, according to our critics.
nytimes.com
Best Movies of 2021
Even when a film wasn’t great, filmgoing was. But there were some truly wonderful releases, ranging from music docs and musicals to westerns and the just plain weird.
10
31
105",10,31,105, ,0.48521478521478517
The New York Times,@nytimes,2021-12-07T10:00:11.000Z,"About that $825 Chanel Advent calendar.
nytimes.com
Chanel, TikTok and the Beauty Advent Calendar Controversy
Some social media users are not feeling the Christmas spirit — or this box of mini lipsticks and branded stickers.
9
34
142The New York Times
@nytimes
·
5h
About that $825 Chanel Advent calendar.
nytimes.com
Chanel, TikTok and the Beauty Advent Calendar Controversy
Some social media users are not feeling the Christmas spirit — or this box of mini lipsticks and branded stickers.
9
34
142",9,34,142, Chanel TikTok Christmas ,0.06767676767676767
The New York Times,@nytimes,2021-12-07T09:30:07.000Z,"Here's a look at some of the highlights worth watching from late-night TV.
nytimes.com
Trevor Noah Suggests Sending Marjorie Taylor Greene to Beijing
“If you want to get back at China, you have Marjorie Taylor Greene in the stands,” Noah said of the U.S. diplomatic boycott of the Olympics.
16
22
101The New York Times
@nytimes
·
5h
Here's a look at some of the highlights worth watching from late-night TV.
nytimes.com
Trevor Noah Suggests Sending Marjorie Taylor Greene to Beijing
“If you want to get back at China, you have Marjorie Taylor Greene in the stands,” Noah said of the U.S. diplomatic boycott of the Olympics.
16
22
101",16,22,101, night Noah Beijing China Olympics ,0.14727272727272728
The New York Times,@nytimes,2021-12-07T09:00:12.000Z,"Olaf Scholz will on Wednesday be sworn in as Germany’s ninth postwar chancellor — and the first Social Democrat in 16 years — succeeding Angela Merkel. He wants to win back workers who defected to the populist far right.
nytimes.com
Can Germany’s New Chancellor Revive the Left in Europe?
Olaf Scholz wants to win back workers who defected to the populist far right. Success could make him a model for Social Democrats everywhere.
21
49
249The New York Times
@nytimes
·
6h
Olaf Scholz will on Wednesday be sworn in as Germany’s ninth postwar chancellor — and the first Social Democrat in 16 years — succeeding Angela Merkel. He wants to win back workers who defected to the populist far right.
nytimes.com
Can Germany’s New Chancellor Revive the Left in Europe?
Olaf Scholz wants to win back workers who defected to the populist far right. Success could make him a model for Social Democrats everywhere.
21
49
249",21,49,249, Wednesday Germany ninth first Democrat years Europe Success Democrats ,0.21773579955398134
The New York Times,@nytimes,2021-12-07T04:10:03.000Z,"Ships stuck at sea, warehouses overflowing, trucks without drivers: The highly intricate and interconnected global supply chain is in upheaval, with little end in sight.

Here's a look at what happened.
nytimes.com
How the Supply Chain Crisis Unfolded
The highly intricate and interconnected global supply chain is in upheaval, and in one way or another, much of the crisis can be traced to the outbreak of Covid-19.
32
178
431The New York Times
@nytimes
·
11h
Ships stuck at sea, warehouses overflowing, trucks without drivers: The highly intricate and interconnected global supply chain is in upheaval, with little end in sight.

Here's a look at what happened.
nytimes.com
How the Supply Chain Crisis Unfolded
The highly intricate and interconnected global supply chain is in upheaval, and in one way or another, much of the crisis can be traced to the outbreak of Covid-19.
32
178
431",32,178,431, Ships one ,0.061643356643356656
The New York Times,@nytimes,2021-12-07T04:00:10.000Z,"Some social media users were not feeling the Christmas spirit after a TikToker posted a video of herself unboxing an $825 Chanel advent calendar that included branded stickers, key chains, perfumes — and a dustbag.
nytimes.com
Chanel, TikTok and the Beauty Advent Calendar Controversy
Some social media users are not feeling the Christmas spirit — or this box of mini lipsticks and branded stickers.
20
43
161The New York Times
@nytimes
·
11h
Some social media users were not feeling the Christmas spirit after a TikToker posted a video of herself unboxing an $825 Chanel advent calendar that included branded stickers, key chains, perfumes — and a dustbag.
nytimes.com
Chanel, TikTok and the Beauty Advent Calendar Controversy
Some social media users are not feeling the Christmas spirit — or this box of mini lipsticks and branded stickers.
20
43
161",20,43,161, Christmas TikToker Chanel ,0.03852813852813852
The New York Times,@nytimes,2021-12-07T03:50:03.000Z,"Drake's withdrawal from the 2022 Grammy Awards is the latest complication for the Recording Academy, which has struggled to prevent an exodus among artists who have complained about a poor win record for Black artists in the most prestigious categories.
nytimes.com
Drake Removes Himself From Competition for 2022 Grammy Awards
The superstar rapper and singer, long a critic of the awards, was nominated in two categories, best rap album and best rap performance.
63
87
368The New York Times
@nytimes
·
11h
Drake's withdrawal from the 2022 Grammy Awards is the latest complication for the Recording Academy, which has struggled to prevent an exodus among artists who have complained about a poor win record for Black artists in the most prestigious categories.
nytimes.com
Drake Removes Himself From Competition for 2022 Grammy Awards
The superstar rapper and singer, long a critic of the awards, was nominated in two categories, best rap album and best rap performance.
63
87
368",63,87,368, Black two ,0.31068580542264757
The New York Times,@nytimes,2021-12-07T03:40:04.000Z,"Michael Steinhardt, the billionaire hedge fund pioneer and one of New York's most prolific antiquities collectors, has surrendered 180 stolen objects valued at $70 million and been barred for life from acquiring any other relics, officials said Monday.
nytimes.com
Michael Steinhardt, Billionaire, Surrenders $70 Million in Stolen Relics
The hedge fund pioneer is barred for life from buying more antiquities. He turned over 180 stolen objects that had decorated his homes and office.
296
963
2KThe New York Times
@nytimes
·
11h
Michael Steinhardt, the billionaire hedge fund pioneer and one of New York's most prolific antiquities collectors, has surrendered 180 stolen objects valued at $70 million and been barred for life from acquiring any other relics, officials said Monday.
nytimes.com
Michael Steinhardt, Billionaire, Surrenders $70 Million in Stolen Relics
The hedge fund pioneer is barred for life from buying more antiquities. He turned over 180 stolen objects that had decorated his homes and office.
296
963
2K",296,963,2K, one Monday Billionaire K ,0.23989898989898986
