,username,handle,postdate,text,reply_cnt,retweet_cnt,Cleaned_sentences,pos_tags,senti_score,Overall Sentiment,ClusterName
0,The New York Times,@nytimes,2021-12-07T12:00:14.000Z,"Volunteer Dies After a Sheep Charges at Her on a Therapy Farm Kim Taylor, 73, went into cardiac arrest after being attacked while caring for livestock at a Massachusetts farm, the police said.",41,71,volunteer dies sheep charges therapy farm kim taylor went cardiac arrest attacked caring livestock massachusetts farm police said,"[('volunteer', 'NN'), ('dies', 'VBZ'), ('sheep', 'JJ'), ('charges', 'NNS'), ('therapy', 'VBP'), ('farm', 'NN'), ('kim', 'NN'), ('taylor', 'NN'), ('went', 'VBD'), ('cardiac', 'JJ'), ('arrest', 'NN'), ('attacked', 'VBD'), ('caring', 'VBG'), ('livestock', 'NN'), ('massachusetts', 'NNS'), ('farm', 'NN'), ('police', 'NN'), ('said', 'VBD')]",0.125,Positive,2
1,The New York Times,@nytimes,2021-12-07T11:45:03.000Z,"The Elusive Truth Behind the Attack on a French Soccer Star The assault of a top women’s player made headlines, with masked men, a metal bar and a teammate arrested. But weeks later, new details suggest the original story might have been wrong.",12,40,elusive truth behind attack french soccer star assault top women player made headlines masked men metal bar teammate arrested weeks later new details suggest original story might wrong,"[('elusive', 'JJ'), ('truth', 'NN'), ('behind', 'IN'), ('attack', 'NN'), ('french', 'JJ'), ('soccer', 'NN'), ('star', 'NN'), ('assault', 'NN'), ('top', 'JJ'), ('women', 'NNS'), ('player', 'NN'), ('made', 'VBD'), ('headlines', 'NNS'), ('masked', 'VBN'), ('men', 'NNS'), ('metal', 'JJ'), ('bar', 'NN'), ('teammate', 'NN'), ('arrested', 'VBN'), ('weeks', 'NNS'), ('later', 'RB'), ('new', 'JJ'), ('details', 'NNS'), ('suggest', 'VBP'), ('original', 'JJ'), ('story', 'NN'), ('might', 'MD'), ('wrong', 'VB')]",0.375,Positive,0
2,The New York Times,@nytimes,2021-12-07T11:30:02.000Z,"Michael Steinhardt, Billionaire, Surrenders $70 Million in Stolen Relics The hedge fund pioneer is barred for life from buying more antiquities. He turned over 180 stolen objects that had decorated his homes and office.",46,163,michael steinhardt billionaire surrenders million stolen relics hedge fund pioneer barred life buying antiquities turned stolen objects decorated homes office,"[('michael', 'NN'), ('steinhardt', 'NN'), ('billionaire', 'NN'), ('surrenders', 'NNS'), ('million', 'CD'), ('stolen', 'VBN'), ('relics', 'NNS'), ('hedge', 'VBP'), ('fund', 'NN'), ('pioneer', 'NN'), ('barred', 'VBD'), ('life', 'NN'), ('buying', 'NN'), ('antiquities', 'NNS'), ('turned', 'VBD'), ('stolen', 'JJ'), ('objects', 'NNS'), ('decorated', 'VBN'), ('homes', 'NNS'), ('office', 'NN')]",-0.125,Negative,0
3,The New York Times,@nytimes,2021-12-07T11:15:04.000Z,"Instagram Says Parental Controls Will Arrive in March Adam Mosseri, the head of the company, is expected to face questions from lawmakers this week about whether social media harms children.",16,60,instagram says parental controls arrive march adam mosseri head company expected face questions lawmakers week whether social media harms children,"[('instagram', 'NN'), ('says', 'VBZ'), ('parental', 'JJ'), ('controls', 'NNS'), ('arrive', 'JJ'), ('march', 'NN'), ('adam', 'NN'), ('mosseri', 'NN'), ('head', 'NN'), ('company', 'NN'), ('expected', 'VBD'), ('face', 'NN'), ('questions', 'NNS'), ('lawmakers', 'NNS'), ('week', 'NN'), ('whether', 'IN'), ('social', 'JJ'), ('media', 'NNS'), ('harms', 'NNS'), ('children', 'NNS')]",-0.75,Negative,0
4,The New York Times,@nytimes,2021-12-07T11:00:18.000Z,Biden’s Supreme Court Commission Prepares to Vote on Final Report A draft version of the document flagged deep disputes over court expansion while exploring how phasing in term limits might work.,24,40,biden supreme court commission prepares vote final report draft version document flagged deep disputes court expansion exploring phasing term limits might work,"[('biden', 'JJ'), ('supreme', 'NN'), ('court', 'NN'), ('commission', 'NN'), ('prepares', 'VBZ'), ('vote', 'VBP'), ('final', 'JJ'), ('report', 'NN'), ('draft', 'NN'), ('version', 'NN'), ('document', 'NN'), ('flagged', 'VBD'), ('deep', 'JJ'), ('disputes', 'NNS'), ('court', 'NN'), ('expansion', 'NN'), ('exploring', 'VBG'), ('phasing', 'VBG'), ('term', 'NN'), ('limits', 'NNS'), ('might', 'MD'), ('work', 'VB')]",-0.25,Negative,0
5,The New York Times,@nytimes,2021-12-07T10:45:08.000Z,"Ahead of Biden’s Democracy Summit, China Says: We’re Also a Democracy Beijing argues that its system represents a distinctive form of democracy, one that has dealt better than the West with challenges like the pandemic.",53,42,ahead biden democracy summit china says also democracy beijing argues system represents distinctive form democracy one dealt better west challenges like pandemic,"[('ahead', 'RB'), ('biden', 'JJ'), ('democracy', 'NN'), ('summit', 'NN'), ('china', 'NN'), ('says', 'VBZ'), ('also', 'RB'), ('democracy', 'NN'), ('beijing', 'VBG'), ('argues', 'NNS'), ('system', 'NN'), ('represents', 'VBZ'), ('distinctive', 'JJ'), ('form', 'NN'), ('democracy', 'NN'), ('one', 'CD'), ('dealt', 'NN'), ('better', 'RBR'), ('west', 'JJS'), ('challenges', 'NNS'), ('like', 'IN'), ('pandemic', 'NN')]",1.0,Positive,0
6,The New York Times,@nytimes,2021-12-07T10:30:05.000Z,"Best Movies of 2021 Even when a film wasn’t great, filmgoing was. But there were some truly wonderful releases, ranging from music docs and musicals to westerns and the just plain weird.",10,31,best movies even film great filmgoing truly wonderful releases ranging music docs musicals westerns plain weird,"[('best', 'JJS'), ('movies', 'NNS'), ('even', 'RB'), ('film', 'NN'), ('great', 'JJ'), ('filmgoing', 'VBG'), ('truly', 'RB'), ('wonderful', 'JJ'), ('releases', 'NNS'), ('ranging', 'VBG'), ('music', 'NN'), ('docs', 'NN'), ('musicals', 'NNS'), ('westerns', 'VBP'), ('plain', 'JJ'), ('weird', 'NN')]",3.0,Positive,0
7,The New York Times,@nytimes,2021-12-07T10:00:11.000Z,"Chanel, TikTok and the Beauty Advent Calendar Controversy Some social media users are not feeling the Christmas spirit — or this box of mini lipsticks and branded stickers.",9,34,chanel tiktok beauty advent calendar controversy social media users feeling christmas spirit box mini lipsticks branded stickers,"[('chanel', 'NNS'), ('tiktok', 'VBP'), ('beauty', 'NN'), ('advent', 'NN'), ('calendar', 'NN'), ('controversy', 'NN'), ('social', 'JJ'), ('media', 'NNS'), ('users', 'NNS'), ('feeling', 'VBG'), ('christmas', 'NN'), ('spirit', 'NN'), ('box', 'NN'), ('mini', 'NN'), ('lipsticks', 'NNS'), ('branded', 'VBD'), ('stickers', 'NNS')]",1.125,Positive,0
8,The New York Times,@nytimes,2021-12-07T09:30:07.000Z,"Trevor Noah Suggests Sending Marjorie Taylor Greene to Beijing “If you want to get back at China, you have Marjorie Taylor Greene in the stands,” Noah said of the U.S. diplomatic boycott of the Olympics.",16,22,trevor noah suggests sending marjorie taylor greene beijing want get back china marjorie taylor greene stands noah said u diplomatic boycott olympics,"[('trevor', 'NN'), ('noah', 'JJ'), ('suggests', 'VBZ'), ('sending', 'VBG'), ('marjorie', 'NNS'), ('taylor', 'JJ'), ('greene', 'VBP'), ('beijing', 'VBG'), ('want', 'VBP'), ('get', 'VB'), ('back', 'RB'), ('china', 'JJ'), ('marjorie', 'NN'), ('taylor', 'NN'), ('greene', 'NN'), ('stands', 'VBZ'), ('noah', 'NNS'), ('said', 'VBD'), ('u', 'JJ'), ('diplomatic', 'JJ'), ('boycott', 'NN'), ('olympics', 'NNS')]",0.125,Positive,0
9,The New York Times,@nytimes,2021-12-07T09:00:12.000Z,Can Germany’s New Chancellor Revive the Left in Europe? Olaf Scholz wants to win back workers who defected to the populist far right. Success could make him a model for Social Democrats everywhere.,21,49,germany new chancellor revive left europe olaf scholz wants win back workers defected populist far right success could make model social democrats everywhere,"[('germany', 'JJ'), ('new', 'JJ'), ('chancellor', 'NN'), ('revive', 'NN'), ('left', 'VBD'), ('europe', 'JJ'), ('olaf', 'IN'), ('scholz', 'NN'), ('wants', 'VBZ'), ('win', 'VB'), ('back', 'RP'), ('workers', 'NNS'), ('defected', 'VBD'), ('populist', 'NN'), ('far', 'RB'), ('right', 'JJ'), ('success', 'NN'), ('could', 'MD'), ('make', 'VB'), ('model', 'NN'), ('social', 'JJ'), ('democrats', 'NNS'), ('everywhere', 'RB')]",0.875,Positive,0
