UserName,Handle,Timestamp,Comments,Likes,Retweets,Text
The New York Times,@nytimes,2022-07-29T14:40:09.000Z,"News Analysis: “While Congress debated and amended and argued over whether and how to support American chip makers,” 
@SangerNYT
 writes, “China was surging ahead, betting it would take Washington years to get its act together.”
nytimes.com
China Has Leapfrogged the U.S. in Key Technologies. Can a New Law Help?
While Congress argued over whether and how to support American chip makers and research in other technologies China was surging ahead.
21
25
76The New York Times
@nytimes
·
Jul 29
News Analysis: “While Congress debated and amended and argued over whether and how to support American chip makers,” 
@SangerNYT
 writes, “China was surging ahead, betting it would take Washington years to get its act together.”
nytimes.com
China Has Leapfrogged the U.S. in Key Technologies. Can a New Law Help?
While Congress argued over whether and how to support American chip makers and research in other technologies China was surging ahead.
21
25
76",21,25,76
The New York Times,@nytimes,2022-07-29T14:29:07.000Z,"The atrium at 60 Wall Street, which is also one of New York’s most distinctive subway entrances, is an eye-popping ’80s extravaganza.

But now there is a plan to demolish it and create a sleeker, more contemporary design.
https://nyti.ms/3bgyRHU
ALT
24
62
287The New York Times
@nytimes
·
Jul 29
The atrium at 60 Wall Street, which is also one of New York’s most distinctive subway entrances, is an eye-popping ’80s extravaganza.

But now there is a plan to demolish it and create a sleeker, more contemporary design.
https://nyti.ms/3bgyRHU
ALT
24
62
287",24,62,287
The New York Times,@nytimes,2022-07-29T14:20:09.000Z,"Algunos estadounidenses, excluidos del mercado inmobiliario y frustrados con los altísimos costos de la atención médica, la electricidad y los artículos básicos, optan cada vez más por alquilar o comprar casas en México.
nytimes.com
‘Vivir aquí me permite ahorrar’: muchos estadounidenses optan por vivir en México
Los habitantes de San Diego se están mudando a Tijuana para hacer rendir su dinero. Algunos tienen la esperanza de ahorrar para el enganche de casas que en el lado norte de la frontera son inalcanz...
10
22
62The New York Times
@nytimes
·
Jul 29
Algunos estadounidenses, excluidos del mercado inmobiliario y frustrados con los altísimos costos de la atención médica, la electricidad y los artículos básicos, optan cada vez más por alquilar o comprar casas en México.
nytimes.com
‘Vivir aquí me permite ahorrar’: muchos estadounidenses optan por vivir en México
Los habitantes de San Diego se están mudando a Tijuana para hacer rendir su dinero. Algunos tienen la esperanza de ahorrar para el enganche de casas que en el lado norte de la frontera son inalcanz...
10
22
62",10,22,62
The New York Times,@nytimes,2022-07-29T14:10:07.000Z,"Richard Rosenthal has a reputation as the go-to lawyer to get dogs off death row. He takes on custody cases, sues veterinary clinics and has made a specialty of defending dangerous dogs. He has made plenty of enemies in the process.
https://nyti.ms/3ODzybX
ALT
32
206
870The New York Times
@nytimes
·
Jul 29
Richard Rosenthal has a reputation as the go-to lawyer to get dogs off death row. He takes on custody cases, sues veterinary clinics and has made a specialty of defending dangerous dogs. He has made plenty of enemies in the process.
https://nyti.ms/3ODzybX
ALT
32
206
870",32,206,870
The New York Times,@nytimes,2022-07-29T14:05:06.000Z,"The MTA is bringing cellphone service to New York City’s subway tunnels, the authority announced. The project to connect riders will come at no public cost but will take 10 years to finish.
nytimes.com
The M.T.A. Is Bringing Cellphone Service to New York’s Subway Tunnels
The project will come at no public cost but will take 10 years to finish.
48
135
331The New York Times
@nytimes
·
Jul 29
The MTA is bringing cellphone service to New York City’s subway tunnels, the authority announced. The project to connect riders will come at no public cost but will take 10 years to finish.
nytimes.com
The M.T.A. Is Bringing Cellphone Service to New York’s Subway Tunnels
The project will come at no public cost but will take 10 years to finish.
48
135
331",48,135,331
The New York Times,@nytimes,2022-07-29T14:00:08.000Z,"U.S. consumer spending rose 1.1% in June despite surging prices — a sign of the economy’s resilience amid talk of a possible recession, and of the challenges facing the Fed as it tries to fight inflation.
nytimes.com
Consumer spending rebounded in June, a sign of economic strength but a warning for the Fed.
The strength in consumer spending could ease fears that the United States is slipping into a recession.
81
94
275The New York Times
@nytimes
·
Jul 29
U.S. consumer spending rose 1.1% in June despite surging prices — a sign of the economy’s resilience amid talk of a possible recession, and of the challenges facing the Fed as it tries to fight inflation.
nytimes.com
Consumer spending rebounded in June, a sign of economic strength but a warning for the Fed.
The strength in consumer spending could ease fears that the United States is slipping into a recession.
81
94
275",81,94,275
The New York Times Retweeted,@jasondhorowitz,2022-07-29T12:53:14.000Z,"While the main mission of Pope Francis in Canada was what he called a “pilgrimage of penance,"" it was also a pilgrimage of senescence in which the pontiff, 85, used his own frailty to demand dignity for the aged in a world increasingly populated by them.
nytimes.com
Pope Francis, Slowed by Aging, Finds Lessons in Frailty
On a visit to Canada, the pontiff, 85, used his own vulnerability to demand dignity and respect for older people in a world increasingly populated by them.
12
50
158The New York Times Retweeted",12,50,158
The New York Times,@nytimes,2022-07-29T06:00:12.000Z,"The best TikTok videos about prison life feel ""like the best travel shows,"" Robin Kaiser-Schatzlein writes in 
@NYTmag
. ""They show you life elsewhere in a way that makes the subjects stop feeling like vague caricatures and become easier to relate to.""
nytimes.com
Why Does the Prison-Life Content on TikTok Feel So Familiar?
Cooking, life advice, bored dancing, workout tips — on social media, you’re reminded that incarceration is a pretty common slice of American life.
7
16
51The New York Times
@nytimes
·
Jul 29
The best TikTok videos about prison life feel ""like the best travel shows,"" Robin Kaiser-Schatzlein writes in 
@NYTmag
. ""They show you life elsewhere in a way that makes the subjects stop feeling like vague caricatures and become easier to relate to.""
nytimes.com
Why Does the Prison-Life Content on TikTok Feel So Familiar?
Cooking, life advice, bored dancing, workout tips — on social media, you’re reminded that incarceration is a pretty common slice of American life.
7
16
51",7,16,51
The New York Times Retweeted,@azeen,2022-07-28T22:37:39.000Z,"NEW from me: on what drove NHS England's decision to overhaul its youth gender medicine program + what that could mean for the US
nytimes.com
England Overhauls Medical Care for Transgender Youth
The National Health Service is closing England’s sole youth gender clinic, which had been criticized for long wait times and inadequate services.
44
32
111The New York Times Retweeted",44,32,111
The New York Times,@nytimes,2022-07-29T05:00:32.000Z,"A large, heavy video screen fell from the ceiling during a Hong Kong concert by Mirror, a popular boy band, at a government-managed venue. Two dancers were hospitalized, a local news outlet said.
nytimes.com
Large Video Screen Falls During Mirror Concert in Hong Kong, Injuring 2
Two dancers for the popular boy band were hospitalized, a local news outlet reported. Hong Kong officials promised an investigation.
33
151
431The New York Times
@nytimes
·
Jul 29
A large, heavy video screen fell from the ceiling during a Hong Kong concert by Mirror, a popular boy band, at a government-managed venue. Two dancers were hospitalized, a local news outlet said.
nytimes.com
Large Video Screen Falls During Mirror Concert in Hong Kong, Injuring 2
Two dancers for the popular boy band were hospitalized, a local news outlet reported. Hong Kong officials promised an investigation.
33
151
431",33,151,431
