UserName,Handle,Timestamp,Comments,Likes,Retweets,Text
The Wall Street Journal,@WSJ,2022-07-31T07:30:11.000Z,"Infrared light allows the James Webb Space telescope to see so far across the universe and into its past. Adding color to the images makes them even more stunning and useful.
wsj.com
Interpreting What the Webb Telescope Sees
Astronomers add color to the infrared images for scientific reasons but also to help the rest of us appreciate their beauty
3
9
49The Wall Street Journal
@WSJ
·
9h
Infrared light allows the James Webb Space telescope to see so far across the universe and into its past. Adding color to the images makes them even more stunning and useful.
wsj.com
Interpreting What the Webb Telescope Sees
Astronomers add color to the infrared images for scientific reasons but also to help the rest of us appreciate their beauty
3
9
49",3,9,49
The Wall Street Journal,@WSJ,2022-07-31T07:00:06.000Z,"India’s gig workers want their share of the winnings.
wsj.com
India’s Gig Workers Are Up in Arms, and Tech Firms Should Worry
Delivery drivers, crucial to the country’s burgeoning tech sector, are starting to push back harder for financial protections.
5
13
50The Wall Street Journal
@WSJ
·
10h
India’s gig workers want their share of the winnings.
wsj.com
India’s Gig Workers Are Up in Arms, and Tech Firms Should Worry
Delivery drivers, crucial to the country’s burgeoning tech sector, are starting to push back harder for financial protections.
5
13
50",5,13,50
The Wall Street Journal,@WSJ,2022-07-31T06:30:06.000Z,"Chinese leader Xi Jinping is elevating trusted subordinates into party and government posts that command key levers of political power, galvanizing his authority as he prepares to extend his rule for another five years.
wsj.com
China’s Xi Promotes Team of Allies to Influential Posts, Fortifying His Power
President Xi Jinping has put people in position to run law enforcement and propaganda as he gets ready to claim a third term.
17
35
87The Wall Street Journal
@WSJ
·
10h
Chinese leader Xi Jinping is elevating trusted subordinates into party and government posts that command key levers of political power, galvanizing his authority as he prepares to extend his rule for another five years.
wsj.com
China’s Xi Promotes Team of Allies to Influential Posts, Fortifying His Power
President Xi Jinping has put people in position to run law enforcement and propaganda as he gets ready to claim a third term.
17
35
87",17,35,87
The Wall Street Journal,@WSJ,2022-07-31T06:00:04.000Z,"As Russia hammers Kharkiv from across the border, Ukrainian forces say restrictions on the use of Western weapons are limiting their ability to respond
wsj.com
Ukrainian Forces Hamstrung by Pledge Not to Fire Into Russia
As Russia hammers Kharkiv from across the border, Ukrainian forces say restrictions on the use of Western weapons are limiting their ability to respond. ‘Our hands are tied,’ said one soldier.
28
45
103The Wall Street Journal
@WSJ
·
11h
As Russia hammers Kharkiv from across the border, Ukrainian forces say restrictions on the use of Western weapons are limiting their ability to respond
wsj.com
Ukrainian Forces Hamstrung by Pledge Not to Fire Into Russia
As Russia hammers Kharkiv from across the border, Ukrainian forces say restrictions on the use of Western weapons are limiting their ability to respond. ‘Our hands are tied,’ said one soldier.
28
45
103",28,45,103
The Wall Street Journal,@WSJ,2022-07-31T05:40:00.000Z,"Chinese manufacturing activity unexpectedly contracted in July, as Beijing’s stringent Covid-19 restrictions and weak demand undercut hopes for a more robust economic revival
wsj.com
China’s Manufacturing Sector Unexpectedly Contracts Amid Weak Demand, Covid Lockdowns
The PMI reading is likely to underscore concerns among economists and investors about the path ahead for the world’s second-largest economy as Beijing reaffirms its commitment to strict zero-Covid...
7
22
62The Wall Street Journal
@WSJ
·
11h
Chinese manufacturing activity unexpectedly contracted in July, as Beijing’s stringent Covid-19 restrictions and weak demand undercut hopes for a more robust economic revival
wsj.com
China’s Manufacturing Sector Unexpectedly Contracts Amid Weak Demand, Covid Lockdowns
The PMI reading is likely to underscore concerns among economists and investors about the path ahead for the world’s second-largest economy as Beijing reaffirms its commitment to strict zero-Covid...
7
22
62",7,22,62
The Wall Street Journal,@WSJ,2022-07-31T05:30:03.000Z,"One of the world’s most spectacular crackdowns on cryptocurrencies has unfolded over the past several months
wsj.com
Blockchain Bros Should Beware India’s Crypto Crackdown
India’s spectacular clampdown on virtual-currency trading in the past several months could signal more pain ahead for investors, if other developing countries in Asia choose to adopt similar dracon...
3
21
39The Wall Street Journal
@WSJ
·
11h
One of the world’s most spectacular crackdowns on cryptocurrencies has unfolded over the past several months
wsj.com
Blockchain Bros Should Beware India’s Crypto Crackdown
India’s spectacular clampdown on virtual-currency trading in the past several months could signal more pain ahead for investors, if other developing countries in Asia choose to adopt similar dracon...
3
21
39",3,21,39
The Wall Street Journal,@WSJ,2022-07-31T05:00:05.000Z,"From the Amazons of ancient myth to today’s combat soldiers, women have fought for a place on the front lines.
wsj.com
The Women Who Have Gone to War
There have been female soldiers since antiquity, but only in modern times have military forces accepted and integrated them.
8
15
35The Wall Street Journal
@WSJ
·
12h
From the Amazons of ancient myth to today’s combat soldiers, women have fought for a place on the front lines.
wsj.com
The Women Who Have Gone to War
There have been female soldiers since antiquity, but only in modern times have military forces accepted and integrated them.
8
15
35",8,15,35
The Wall Street Journal,@WSJ,2022-07-31T04:30:07.000Z,"Wasps are among the most reviled organisms on the planet, but as their many crucial roles show, even the unloved aspects of nature are valuable.
wsj.com
Taking the Sting Out of Wasps
These feared insects pollinate where bees don’t and eradicate other pests—and their toxins are being studied for medicinal qualities.
5
33
90The Wall Street Journal
@WSJ
·
12h
Wasps are among the most reviled organisms on the planet, but as their many crucial roles show, even the unloved aspects of nature are valuable.
wsj.com
Taking the Sting Out of Wasps
These feared insects pollinate where bees don’t and eradicate other pests—and their toxins are being studied for medicinal qualities.
5
33
90",5,33,90
The Wall Street Journal,@WSJ,2022-07-31T04:00:02.000Z,"Russia’s intelligence service worked for nearly a decade to recruit members of fringe U.S. political groups to advance pro-Russia propaganda, according to an indictment
wsj.com
Russian National Incited for Co-opting U.S. Fringe Groups
Federal prosecutors say Aleksandr Ionov used Black socialists and California secessionists to promote Russian propaganda and sow discord in U.S.
24
63
131The Wall Street Journal
@WSJ
·
13h
Russia’s intelligence service worked for nearly a decade to recruit members of fringe U.S. political groups to advance pro-Russia propaganda, according to an indictment
wsj.com
Russian National Incited for Co-opting U.S. Fringe Groups
Federal prosecutors say Aleksandr Ionov used Black socialists and California secessionists to promote Russian propaganda and sow discord in U.S.
24
63
131",24,63,131
The Wall Street Journal,@WSJ,2022-07-30T19:30:13.000Z,"Of the 116,641 convenience stores selling fuel in the U.S., slightly more than half are independently run. Those mom-and-pop operations are just as stressed about high gas prices as you are.
wsj.com
Gas Station Owners Grapple With Price Swings
Gasoline prices are falling almost as quickly as they rose, creating new headaches for independent operators who run roughly half of U.S. gas stations
7
25
59The Wall Street Journal
@WSJ
·
21h
Of the 116,641 convenience stores selling fuel in the U.S., slightly more than half are independently run. Those mom-and-pop operations are just as stressed about high gas prices as you are.
wsj.com
Gas Station Owners Grapple With Price Swings
Gasoline prices are falling almost as quickly as they rose, creating new headaches for independent operators who run roughly half of U.S. gas stations
7
25
59",7,25,59
