UserName,Handle,Timestamp,Comments,Likes,Retweets,Text
The Washington Post,@washingtonpost,2022-07-31T05:51:09.000Z,"Opinion by Shabana Basij-Rasikh: Ignoring Afghan women and girls is to do the Taliban’s work for them
washingtonpost.com
Opinion | Ignoring Afghan women and girls is to do the Taliban’s work for them
It’s been 11 months since the fall of Kabul, and the vanishing of women is nearly complete.
23
56
129The Washington Post
@washingtonpost
·
11h
Opinion by Shabana Basij-Rasikh: Ignoring Afghan women and girls is to do the Taliban’s work for them
washingtonpost.com
Opinion | Ignoring Afghan women and girls is to do the Taliban’s work for them
It’s been 11 months since the fall of Kabul, and the vanishing of women is nearly complete.
23
56
129",23,56,129
The Washington Post,@washingtonpost,2022-07-31T05:13:13.000Z,"The presence of poet W.B. Yeats endures on Ireland's northwest coast.
washingtonpost.com
A road trip through Yeats country in County Sligo, Ireland
The presence of poet W.B. Yeats endures on Ireland's northwest coast.
11
39
116The Washington Post
@washingtonpost
·
11h
The presence of poet W.B. Yeats endures on Ireland's northwest coast.
washingtonpost.com
A road trip through Yeats country in County Sligo, Ireland
The presence of poet W.B. Yeats endures on Ireland's northwest coast.
11
39
116",11,39,116
The Washington Post,@washingtonpost,2022-07-31T04:37:21.000Z,"Opinion by George F. Will: Blaming social media for academia’s ruin misses a larger, darker truth
washingtonpost.com
Opinion | Blaming social media for academia’s ruin misses a larger, darker truth
Many academics are not 'captured by' Twitter; it is their 'safe space.' Their febrile shallowness is not 'Twitter-induced'; Twitter is a response to it.
33
23
86The Washington Post
@washingtonpost
·
12h
Opinion by George F. Will: Blaming social media for academia’s ruin misses a larger, darker truth
washingtonpost.com
Opinion | Blaming social media for academia’s ruin misses a larger, darker truth
Many academics are not 'captured by' Twitter; it is their 'safe space.' Their febrile shallowness is not 'Twitter-induced'; Twitter is a response to it.
33
23
86",33,23,86
The Washington Post,@washingtonpost,2022-07-31T04:00:19.000Z,"D.C.-area health officials urge precautions as coronavirus cases rise
washingtonpost.com
D.C.-area health officials recommend precautions as covid cases rise
Most counties and cities in the region reported a medium level of community spread of the coronavirus this week, according to the CDC's tracker.
21
45
99The Washington Post
@washingtonpost
·
13h
D.C.-area health officials urge precautions as coronavirus cases rise
washingtonpost.com
D.C.-area health officials recommend precautions as covid cases rise
Most counties and cities in the region reported a medium level of community spread of the coronavirus this week, according to the CDC's tracker.
21
45
99",21,45,99
The Washington Post,@washingtonpost,2022-07-31T03:26:47.000Z,"First monkeypox deaths outside Africa are reported in Spain and Brazil
washingtonpost.com
First monkeypox deaths outside Africa reported in Spain and Brazil
Two people have died from monkeypox in Brazil and Spain, marking the first known fatalities outside Africa in the current outbreak.
33
114
125The Washington Post
@washingtonpost
·
13h
First monkeypox deaths outside Africa are reported in Spain and Brazil
washingtonpost.com
First monkeypox deaths outside Africa reported in Spain and Brazil
Two people have died from monkeypox in Brazil and Spain, marking the first known fatalities outside Africa in the current outbreak.
33
114
125",33,114,125
The Washington Post,@washingtonpost,2022-07-31T02:50:04.000Z,"The DHS’s chief watchdog scrapped its investigative team’s effort to collect agency phones to try to recover deleted Secret Service texts this year, according to four people with knowledge of the decision and internal records reviewed by The Post.
washingtonpost.com
Homeland Security watchdog halted plan to recover Secret Service texts, records show
The Homeland Security watchdog came up with a plan to recover text messages exchanged around the time of the Jan. 6, 2021, siege on the Capitol, and then abandoned it.
39
125
207The Washington Post
@washingtonpost
·
14h
The DHS’s chief watchdog scrapped its investigative team’s effort to collect agency phones to try to recover deleted Secret Service texts this year, according to four people with knowledge of the decision and internal records reviewed by The Post.
washingtonpost.com
Homeland Security watchdog halted plan to recover Secret Service texts, records show
The Homeland Security watchdog came up with a plan to recover text messages exchanged around the time of the Jan. 6, 2021, siege on the Capitol, and then abandoned it.
39
125
207",39,125,207
The Washington Post,@washingtonpost,2022-07-31T02:20:02.000Z,"In Michigan, a pro-Israel group works to beat a Jewish Democrat
washingtonpost.com
In Michigan, a pro-Israel group works to beat a Jewish Democrat
Rep. Andy Levin finds himself fighting for his political life against a fellow Democrat, Rep. Haley Stevens.
44
41
110The Washington Post
@washingtonpost
·
14h
In Michigan, a pro-Israel group works to beat a Jewish Democrat
washingtonpost.com
In Michigan, a pro-Israel group works to beat a Jewish Democrat
Rep. Andy Levin finds himself fighting for his political life against a fellow Democrat, Rep. Haley Stevens.
44
41
110",44,41,110
The Washington Post,@washingtonpost,2022-07-31T02:08:11.000Z,"Opinion by Courtney Lucas: The Kentucky flooding is horrific. So is some Democrats’ lack of sympathy.
washingtonpost.com
Opinion | The Kentucky flooding is horrific. So is some Democrats’ lack of sympathy.
When I saw two very different stories about the disaster unfold on social media, I wondered if I was an “us” or a “them,” if I should stand with my party or my people.
1,136
239
496The Washington Post
@washingtonpost
·
14h
Opinion by Courtney Lucas: The Kentucky flooding is horrific. So is some Democrats’ lack of sympathy.
washingtonpost.com
Opinion | The Kentucky flooding is horrific. So is some Democrats’ lack of sympathy.
When I saw two very different stories about the disaster unfold on social media, I wondered if I was an “us” or a “them,” if I should stand with my party or my people.
1,136
239
496","1,136",239,496
The Washington Post,@washingtonpost,2022-07-31T01:29:02.000Z,"The battle for control of one of Florida’s largest public health systems has turned political.
washingtonpost.com
Conservatives skeptical of covid vaccines battle to lead a hospital
In Sarasota, a slate of conservative Republicans is running for seats on a hospital board, highlighting how once-obscure offices are emerging as a new ideological battlefront.
25
55
99The Washington Post
@washingtonpost
·
15h
The battle for control of one of Florida’s largest public health systems has turned political.
washingtonpost.com
Conservatives skeptical of covid vaccines battle to lead a hospital
In Sarasota, a slate of conservative Republicans is running for seats on a hospital board, highlighting how once-obscure offices are emerging as a new ideological battlefront.
25
55
99",25,55,99
The Washington Post,@washingtonpost,2022-07-30T16:18:03.000Z,"Kingfish is almost always telling you a story derived from song’s lyrics, his own love affair with music, the trials and joys of his young life.

These days, he is working to make his powerful, soulful voice as expressive as his playing. https://wapo.st/3ox9UuQ
ALT
2
12
93",2,12,93
